/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
PillBox-Cannon6				_("Twin Assault Cannon Bunker")

A0LasSatCommand				_("Laser Satellite Command Post")
A0Sat-linkCentre				_("Satellite Uplink Center")
Sensor-WideSpec				_("Wide Spectrum Sensor")
Sys-SensoTowerWS				_("Wide Spectrum Sensor Tower")
R-Sys-Sensor-WS				_("Wide Spectrum Sensor")
R-Sys-Sensor-WSTower			_("Wide Spectrum Sensor Tower")
R-Sys-Sensor-SatLink			_("Satellite Uplink Center")
R-Wpn-LasSat				_("Laser Satellite Command Post")
R-Sys-Sensor-UpLink			_("Satellite Uplink Center")
LasSatCommandSensor			"*LasSatCommandSensor*"
R-Sys-RadarDetector01			_("Radar Detector")

// added by SEBG 5 July 1999

SK-Veng-Track-C6TwinAslt	"*SK-Veng-Track-C6TwinAslt*"
SK-Veng-Track-HvyLaser		"*SK-Veng-Track-HvyLaser*"

AutoRepair					"Auto Repair"

// added by Marc 23rd June 1999 Tech 3 Super-Cyborgs, Plasma Cannon and EMP Cannon

R-Wpn-PlasmaCannon			_("Plasma Cannon")
Laser4-PlasmaCannon			_("Plasma Cannon")
R-Defense-PlasmaCannon			_("Plasma Cannon Emplacement")
Emplacement-PlasmaCannon		_("Plasma Cannon Emplacement")

R-Wpn-Sunburst			_("Sunburst AA Rocket Array")
Rocket-Sunburst			_("Sunburst AA")
Rocket-VTOL-Sunburst		_("VTOL Sunburst AA")
R-Defense-Sunburst			_("Sunburst AA Site")
P0-AASite-Sunburst			_("Sunburst AA Site")

R-Cyborg-Hvywpn-PulseLsr		_("Super Pulse Laser Cyborg")
Cyb-Hvy-PulseLsr				_("Super Pulse Laser Cyborg")
Cyb-Hvybod-PulseLsr			_("Super Pulse Laser Cyborg")
Cyb-Hvywpn-PulseLsr			_("Super Pulse Laser Cyborg")

R-Cyborg-Hvywpn-RailGunner		_("Super Rail-Gunner")
Cyb-Hvy-RailGunner			_("Super Rail-Gunner")
Cyb-Hvybod-RailGunner			_("Super Rail-Gunner")
Cyb-Hvywpn-RailGunner			_("Super Rail-Gunner")

R-Cyborg-Hvywpn-A-T			_("Super Scourge Cyborg")
Cyb-Hvy-A-T					_("Super Scourge Cyborg")
Cyb-Hvybod-A-T				_("Super Scourge Cyborg")
Cyb-Hvywpn-A-T				_("Super Scourge Cyborg")

Sys-SpyTower				_("Nexus Link Tower")
R-Sys-SpyTower				_("Nexus Link Tower")

EMP-Cannon					_("EMP Cannon")
WallTower-EMP				_("EMP Cannon Tower")
R-Defense-EMPCannon			_("EMP Cannon Tower")
R-Wpn-EMPCannon				_("EMP Cannon")

// added by SEBG for September patch

X-Super-MassDriver			_("Mass Driver Fortress")
MassDriver					_("Mass Driver")
R-Defense-MassDriver			_("Mass Driver Fortress")

X-Super-Cannon				_("Cannon Fortress")
CannonSuper					_("Cannon Fortress")
R-Defense-Super-Cannon 			_("Cannon Fortress")

X-Super-Rocket				_("Heavy Rocket Bastion")
RocketSuper					_("Heavy Rocket Bastion")
R-Defense-Super-Rocket 			_("Heavy Rocket Bastion")

X-Super-Missile				_("Missile Fortress")
MissileSuper				_("Missile Fortress")
R-Defense-Super-Missile 		_("Missile Fortress")

// added by Marc 1st September - Super Heavy bodies, Flamer Upgrades

R-Vehicle-Body13				_("Heavy Body - Wyvern")
Body13SUP					_("Wyvern")

R-Vehicle-Body14				_("Multi Turret Body - Dragon")
Body14SUP					_("Dragon")

R-Wpn-Flamer-Damage07			_("Superhot Plasmite gel")
R-Wpn-Flamer-Damage08			_("Superhot Plasmite gel Mk2")
R-Wpn-Flamer-Damage09			_("Superhot Plasmite gel Mk3")

// added by Marc 13th September - EMP Mortar, AA laser, AA Hardpoints, Sam Hardpoints

MortarEMP					_("EMP Mortar")
Emplacement-MortarEMP			_("EMP Mortar Pit")
R-Wpn-MortarEMP				_("EMP Mortar")
R-Defense-EMPMortar			_("EMP Mortar Pit")
AAGunLaser					_("Stormbringer AA Laser")
R-Defense-AA-Laser			_("Stormbringer Emplacement")
R-Wpn-AALaser				_("Stormbringer AA Laser")
P0-AASite-Laser				_("Stormbringer Emplacement")
R-Defense-WallTower-SamHvy		_("Vindicator Hardpoint")
WallTower-SamHvy				_("Vindicator Hardpoint")
WallTower-QuadRotAAGun			_("Whirlwind Hardpoint")
R-Defense-WallTower-QuadRotAA		_("Whirlwind Hardpoint")
WallTower-DoubleAAGun			_("AA Flak Cannon Hardpoint")
R-Defense-WallTower-DoubleAAgun	_("AA Flak Cannon Hardpoint")
R-Defense-WallTower-SamSite		_("Avenger Hardpoint")
WallTower-SamSite				_("Avenger Hardpoint")

// added by Marc 15th September - Twin Rotary MG, VTOL Plasmite Bomb and VTOL EMP Missile Launcher

MG5TWINROTARY				_("Twin Assault Gun")
R-Wpn-MG5					_("Twin Assault Gun")
WallTower-TwinAssaultGun		_("Twin Assault Gun Hardpoint")
R-Defense-WallTower-TwinAGun		_("Twin Assault Gun Hardpoint")

Bomb5-VTOL-Plasmite			_("VTOL Plasmite Bomb Bay")
R-Wpn-Bomb05				_("Plasmite Bomb")
Bomb6-VTOL-EMP				_("VTOL EMP Missile Launcher")
R-Wpn-Bomb06				_("EMP Missile Launcher")

// added by Marc 15th September - Upgraded Command Turrets

CommandTurret2				_("Command Turret II")
R-Comp-CommandTurret02			_("Command Turret II")
CommandTurret3				_("Command Turret III")
R-Comp-CommandTurret03			_("Command Turret III")
CommandTurret4				_("Command Turret IV")
R-Comp-CommandTurret04			_("Command Turret IV")

			/////////////////
			//NEW TEMPLATES//
			/////////////////

	/* Aivolution */
//TransporterU				_("Unit transport")
//TransporterBodyU			_("Unit transport Body")
//R-Cyborg-TransportU			_("Unit transport")
CobraHRepairHover			_("Heavy Repair Turret Cobra Hover")
ViperHMGWheels				_("Heavy Machinegun Viper Wheels")
Scourge-Mantis-H			_("Scourge Mantis Hover")
TK-Mantis-H				_("Tank Killer Mantis Hover")
CobraHMGTracks				_("Heavy Machinegun Cobra Tracks")
Cobra-Hover-HC				_("Heavy Cannon Cobra Hover")

//======================================================================
//GK
//======================================================================
A-Viper-Wheels-MG			_("Machinegun Viper Wheels")
A-Viper-Wheels-TMG			_("Twin Machinegun Viper Wheels")
A-Viper-Wheels-HMG			_("Heavy Machinegun Viper Wheels")
A-Cobra-Wheels-HMG			_("Heavy Machinegun Cobra Wheels")
A-Cobra-Hover-HMG			_("Heavy Machinegun Cobra Hover")

A-Viper-Trk-MG				_("Machinegun Viper Tracks")
A-Viper-Trk-TMG				_("Twin Machinegun Viper Tracks")
A-Viper-Trk-HMG				_("Heavy Machinegun Viper Tracks")
A-Cobra-Trk-HMG				_("Heavy Machinegun Cobra Tracks")

A-Cobra-Hover-MC			_("Medium Cannon Cobra Hover")
A-Scorp-Hover-MC			_("Medium Cannon Scorpion Hover")
A-Scorp-Trk-MC				_("Medium Cannon Scorpion Tracks")
A-Python-Hover-MC			_("Medium Cannon Python Hover")
A-Python-Hover-HC			_("Heavy Cannon Python Hover")
A-Python-Trk-HC				_("Heavy Cannon Python Tracks")
A-Mantis-Trk-Rail			_("Rail Gun Mantis Tracks")
A-Mantis-Trk-Pulse			_("Pulse Laser Mantis Tracks")
A-Python-Trk-Lancer			_("Lancer Python Tracks")
A-Mantis-Trk-Lancer			_("Lancer Mantis Tracks")
A-Veng-Trk-TK				_("Tank Killer Vengeance Tracks")

//A-Python-Trk-HLaser			_("Heavy Laser Python Tracks")
//A-Python-Trk-Scour			_("Scourge Python Tracks")

A-Tiger-Trk-HC				_("Heavy Cannon Tiger Tracks")
A-Tiger-Trk-Needle			_("Needle Gun Tiger Tracks")
A-Retrib-Trk-Needle			_("Needle Gun Retribution Tracks")
A-Veng-Trk-Needle			_("Needle Gun Vengeance Tracks")
A-Veng-Trk-Rail				_("Vengeance Tracks Rail Gun")
A-Veng-Trk-Guass			_("Vengeance Tracks Gauss Cannon")
A-Veng-Trk-Scourge			_("Vengeance Tracks Gauss Scourge")

//Anti Structure VTOLs
V-Bug-ClusterBomb			_("VTOL Cluster Bomb Bay Bug VTOL")
V-Bug-BB				_("VTOL Bunker Buster Bug VTOL")
V-Scor-ClusterBomb			_("VTOL Cluster Bomb Bay Scorpion VTOL")
V-Scor-BB				_("VTOL Bunker Buster Scorpion VTOL")

//Anti Tank VTOLs
V-Bug-Lancer				_("VTOL Lancer Bug VTOL")
V-Bug-HPV				_("VTOL Hyper Velocity Cannon Bug VTOL")
V-Scor-Lancer				_("VTOL Lancer Scorpion VTOL")
V-Scor-HPV				_("VTOL Hyper Velocity Cannon Scorpion VTOL")
V-Mantis-Lancer				_("VTOL Lancer Mantis VTOL")
V-Mantis-HPV				_("VTOL Hyper Velocity Cannon Mantis VTOL")

//Repair
A-Rep-Cobra-Trk				_("Repair Turret Cobra Tracks")
A-Rep-Mantis-Trk			_("Repair Turret Mantis Tracks")

H-Scorp-Trk-Lancer			_("Lancer Scorpion Tracks")
H-Scorp-Trk-HC				_("Heavy Cannon Scorpion Tracks")
H-Scorp-VTOL-Lancer			_("Lancer Scorpion VTOL")
H-Scorp-VTOL-BB				_("Bunker Buster Scorpion VTOL")

Viper-Trk-Com				_("Command Turret Viper Tracks")
Cobra-Trk-Com				_("Command Turret Cobra Tracks")
Scorp-Trk-Com				_("Command Turret Scorpion Tracks")
Mantis-Trk-Com				_("Command Turret Mantis Tracks")

CobraTrkLancer				_("Lancer Cobra Tracks")
MantisTrkHC				_("Heavy Cannon Mantis Tracks")
MantisTKTracks				_("Tank Killer Mantis Tracks")
MantisScourgeTracks			_("Scourge Mantis Tracks")
ScorpTrkHMG				_("Heavy Machinegun Scorpion Tracks")

ScorpRepairTrk				_("Repair Scorpion Tracks")
ScorpHRepairHover			_("Heavy Repair Scorpion Hover")

// Hover Truck Templates
CobraHoverTruck				_("Truck Cobra Hover")
ScorpHoverTruck				_("Truck Scorpion Hover")
MantisHoverTruck			_("Truck Mantis Hover")

// Bunker Buster Templates
CobraBBTracks				_("Bunker Buster Cobra Tracks")
ScorpBBTracks				_("Bunker Buster Scorpion Tracks")
MantisBBTracks				_("Bunker Buster Mantis Tracks")

ViperTrkLancer				_("Lancer Viper Tracks")

CobraPODHTracks				_("Mini-Rocket Cobra Half-Tracks")
CobraPODTracks				_("Mini-Rocket Cobra Tracks")
CobraMRLTracks				_("Mini-Rocket Array Cobra Tracks")

CobraInfernoHTracks			_("Inferno Cobra Half-Tracks")
PythonHoverHVC				_("Hyper Velocity Cannon Python Hover")

PythonTKTracks				_("Tank Killer Python Tracks")
PythonMedCanTracks			_("Medium Cannon Python Tracks")
PythonScourgeTracks			_("Scourge Python Tracks")
PythonGaussTracks			_("Gauss Cannon Python Tracks")
PythonPulseTracks			_("Pulse Laser Python Tracks")
TigerPulseTracks			_("Pulse Laser Tiger Tracks")
TigerHvLaserTracks			_("Heavy Laser Tiger Tracks")
WyvernGaussTracks			_("Gauss Cannon Wyvern Tracks")
WyvernPulseTracks			_("Pulse Laser Wyvern Tracks")
WyvernHvLaserTracks			_("Heavy Laser Wyvern Tracks")

ViperLtMGHalfTracks			_("Machinegun Viper Half-Tracks")
ViperFlameHalfTracks		_("Flamer Viper Half-Tracks")

//Added for DyDo-AI
CobraInfernoHover			_("Inferno Cobra Hover")
CobraMedCnHTrks			  _("Medium Cannon Cobra Half Track")
PythonHoverInferno		_("Inferno Python Hover")
PhytonHoverAssGun     _("Assault Gun Python Hover")
PhytonHTrackAssGun    _("Assault Gun Python Half Track")
ScorpHTrackHMG			  _("Heavy Machinegun Scorpion Half Tracks")
MantisHoverAC         _("Assault Cannon Mantis Hover")
LeopardHoverPulseLas  _("Pulse Laser Leopard Hover")
PantherHoverPulseLas  _("Pulse Laser Panther Hover")
TigerHoverRailGun     _("Rail Gun Tiger Hover")
TigerHoverPulseLas  	_("Pulse Laser Tiger Hover")
WyvernPlasmaCTracks  	_("Plasma Cannon Wyvern Tracks")
WyvernScourgeTracks  	_("Scourge Missile Wyvern Tracks")
RetreHoverFlashLight  _("Flashlight Retribution Hover")
ViperPODHalfTracks    _("Mini-Rocket Viper Half Track")
ViperMRLHalfTracks    _("Mini-Rocket Array Viper Half Track")
SK-Mantis-VTOL-PBB    _("Phosphor Bomb Bay Mantis VTOL")
SK-Mantis-VTOL-HBB    _("Heap Bomb Bay Mantis VTOL")
SK-Retre-VTOL-HBB     _("Heap Bomb Bay Retribution VTOL")
SK-Retal-VTOL-Scourge _("Scourge Retaliation VTOL")
SK-Retre-VTOL-Plasmite	_("Plasmite Retribution VTOL")


// new features by Mysteryem

arizonabush1				"*ArizonaBush1*"
arizonabush2				"*ArizonaBush2*"
arizonabush3				"*ArizonaBush3*"
arizonabush4				"*ArizonaBush4*"
arizonatree1        "*ArizonaTree1*"
arizonatree2        "*ArizonaTree2*"
arizonatree3        "*ArizonaTree3*"
arizonatree4        "*ArizonaTree4*"
arizonatree5        "*ArizonaTree5*"
arizonatree6        "*ArizonaTree6*"
trapstraight        "*TrapStraight*"
trapcorner          "*TrapCorner*"
hoverwreck          "*WreckedHoverProp*"
barrier             "*Barrier*"
bridgeend           "*BridgeEnd*"
bridgemiddle        "*BridgeMiddle*"
bridgefull         "*FullBridge*"
bigcooltowr         "*LargeCoolingTower*"
nukepowstat         "*NuclearPowerStation*"
Pipe1A              "*PipeFull*"
Pipe2A              "*PipeEnd*"
Pipe3A              "*PipeCollapsed*"
Ruin6               "*Ruin6*"
Ruin7               "*Ruin7*"
Ruin8               "*Ruin8*"
Ruin9               "*Ruin9*"
Ruin10              "*Ruin10*"
Wreck0              "*Wreck0*"
Wreck1              "*Wreck1*"
Wreck2              "*Wreck2*"
Wreck3              "*Wreck3*"
Wreck4              "*Wreck4*"
Wreck5              "*Wreck5*"
BaBaHorizontalWall  "*Babahrzwall*"
BabaCornerWall      "*Babacrnwall*"
Powlab              "Powerlab"
Indirectlab         "Indirectweaponslab"
Nanolab             "Nanolab"
Aerodynamicslab     "Aerodynamicslab"
Advmaterialslab     "Advancedmaterialslab"
Heavywepslab        "Heavyweaponslab"
Rotarywepslab       "Rotaryweaponslab"
Laseropticslab      "Laseropticslab"
Wall                "Wall"
WallCorner          "Wallcorner"
WallSmashed         "Smashedwall"
WallCornerSmashed   "Smashedcornerwall"


/*
 FK Mod Entries
*/
// body.txt
FKTankStart	"Cobra"
FKTankHiThermal "Scorpion"
FKTankHiKinetic "Panther"
FKTankHiSpeed "Retribution"
FKCyborg-Cannon "*Cyborg Cannon*"
FKCyborg-Cannon2 "*Cyborg Cannon2*"
FKCyborg-Cannon3 "*Cyborg Cannon3*"
FKCyborg-Flamethrower "*Cyborg Flamethrower*"
FKCyborg-Flamethrower2 "*Cyborg Flamethrower2*"
FKCyborg-Flamethrower3 "*Cyborg Flamethrower3*"
FKCyborg-GrenadeLauncher "*Cyborg Grenade Launcher*"
FKCyborg-GrenadeLauncher2 "*Cyborg Grenade Launcher2*"
FKCyborg-GrenadeLauncher3 "*Cyborg Grenade Launcher3*"
FKCyborg-Lancer "*Cyborg Lancer*"
FKCyborg-Lancer2 "*Cyborg Lancer2*"
FKCyborg-MG "*Cyborg MG*"
FKCyborg-MG2 "*Cyborg MG2*"
FKCyborg-MG3 "*Cyborg MG3*"
FKCyborg-Engineer "*Cyborg Engineer*"
FKCyborg-Repair "*Cyborg Repair*"
FKTransportBody "*Transport*"

// construction.txt
FKTruck "Truck"
FKCyborgEngineer "Engineer"

// propulsion.txt
V-Tol-CybTrans "Cyborg Transport Propulsion"

// repair.txt
FKAutoRepair "*Auto Repair*"
FKCyborgRepair "*Cyborg Repair*"
FKTankRepair "Repair Turret"

// sensor.txt
FKSurveillanceSensor	"Surveillance Sensor"
FKArtillerySensor "Artillery Sensor"
FKCBSensor "CB Sensor"
FKVTOLSensor "VTOL Sensor"
FKScoutSensor "Scout Sensor"

// structures.txt
FKCyborgFactory "Cyborg Factory"
FKWallCorner "Wall"
FKWallGate "Gate"
FKWall "Wall"
FKTankFactory "Tank Factory"
FKPowerGenerator "Power Generator"
FKRepairFacility "Repair Facility"
FKResearchFacility "Research Facility"
FKVTOLFactory "VTOL Factory"
FKRearmPad "Rearming Pad"
FKTowerSurveillance "Surveillance Tower"
FKTowerArtillery "Sensor Tower"
FKTowerCB "CB Tower"
FKTowerVTOL "VTOL Tower"
FKHardpointMG "Machinegun Hardpoint Mk1"
FKHardpointMG2 "Machinegun Hardpoint Mk2"
FKHardpointMG3 "Machinegun Hardpoint Mk3"
FKHardpointCannon "Cannon Hardpoint Mk1"
FKHardpointCannon2 "Cannon Hardpoint Mk2"
FKHardpointCannon3 "Cannon Hardpoint Mk3"
FKHardpointScourgeMissile "Scourge Missile Hardpoint Mk1"
FKHardpointScourgeMissile2 "Scourge Missile Hardpoint Mk2"
FKBunkerMG "Machinegun Bunker Mk1"
FKBunkerMG2 "Machinegun Bunker Mk2"
FKBunkerMG3 "Machinegun Bunker Mk3"
FKBunkerCannon "Cannon Bunker Mk1"
FKBunkerCannon2 "Cannon Bunker Mk2"
FKBunkerCannon3 "Cannon Bunker Mk3"
FKBunkerScourgeMissile "Scourge Missile Bunker Mk1"
FKBunkerScourgeMissile2 "Scourge Missile Bunker Mk2"
FKAASiteHurricane "Hurricane AA Site Mk1"
FKAASiteHurricane2 "Hurricane AA Site Mk2"
FKAASiteHurricane3 "Hurricane AA Site Mk3"
FKAASiteCyclone "Cyclone AA Site Mk1"
FKAASiteCyclone2 "Cyclone AA Site Mk2"
FKAASiteCyclone3 "Cyclone AA Site Mk3"
FKAASiteAvengerSAM "Avenger SAM Site Mk1"
FKAASiteAvengerSAM2 "Avenger SAM Site Mk2"
FKAASiteAvengerSAM3 "Avenger SAM Site Mk3"
FKAASiteStormbringer "Stormbringer AA Site Mk1"
FKAASiteStormbringer2 "Stormbringer AA Site Mk2"
FKAASiteStormbringer3 "Stormbringer AA Site Mk3"
FKPitHowitzer "Howitzer Pit Mk1"
FKPitHowitzer2 "Howitzer Pit Mk2"
FKPitHowitzer3 "Howitzer Pit Mk3"
FKPitRockets "Rocket Battery Pit Mk1"
FKPitRockets2 "Rocket Battery Pit Mk2"
FKPitRockets3 "Rocket Battery Pit Mk3"
FKPitHowitzerIncendiary "Incendiary Howitzer Pit Mk1"
FKPitHowitzerIncendiary2 "Incendiary Howitzer Pit Mk2"
FKPitHowitzerIncendiary3 "Incendiary Howitzer Pit Mk3"
FKPitGrenadeLauncher "Grenade Launcher Pit Mk1"
FKPitGrenadeLauncher2 "Grenade Launcher Pit Mk2"
FKPitGrenadeLauncher3 "Grenade Launcher Pit Mk3"

// templates.txt
FK-Cyb-Cannon	"Cannon Cyborg Mk1"
FK-Cyb-Cannon2	"Cannon Cyborg Mk2"
FK-Cyb-Cannon3	"Cannon Cyborg Mk3"
FK-Cyb-GrenadeLauncher "Grenadier Mk1"
FK-Cyb-GrenadeLauncher2 "Grenadier Mk2"
FK-Cyb-GrenadeLauncher3 "Grenadier Mk3"
FK-Cyb-Lancer "Lancer Mk1"
FK-Cyb-Lancer2 "Lancer Mk2"
FK-Cyb-MG "Machinegunner Mk1"
FK-Cyb-MG2 "Machinegunner Mk2"
FK-Cyb-MG3 "Machinegunner Mk3"
FK-Cyb-Flamethrower	"Flamer Mk1"
FK-Cyb-Flamethrower2	"Flamer Mk2"
FK-Cyb-Flamethrower3	"Flamer Mk3"
FK-Cyb-Engineer "Engineer"
FK-Cyb-Repair "Mechanic"

// weapons.txt
FK-ART-Howitzer	"Howitzer Mk1"
FK-ART-Howitzer2	"Howitzer Mk2"
FK-ART-Howitzer3	"Howitzer Mk3"
FK-ART-RocketBattery	"Rocket Battery Mk1"
FK-ART-RocketBattery2	"Rocket Battery Mk2"
FK-ART-RocketBattery3	"Rocket Battery Mk3"
FK-Commander	"Commander"
FK-FF-AAHurricane	"Hurricane AA Mk1"
FK-FF-AAHurricane2	"Hurricane AA Mk2"
FK-FF-AAHurricane3	"Hurricane AA Mk3"
FK-FF-Autocannon-Tank	"Autocannon Mk1"
FK-FF-Autocannon-Tank2	"Autocannon Mk2"
FK-FF-Autocannon-Tank3	"Autocannon Mk3"
FK-FF-Autocannon-VTOL	"Autocannon Mk1"
FK-FF-Autocannon-VTOL2	"Autocannon Mk2"
FK-FF-Autocannon-VTOL3	"Autocannon Mk3"
FK-FF-Machinegun-Cyborg	"Machinegun Mk1"
FK-FF-Machinegun-Cyborg2	"Machinegun Mk2"
FK-FF-Machinegun-Cyborg3	"Machinegun Mk3"
FK-FF-Machinegun-Structure	"Machinegun Mk1"
FK-FF-Machinegun-Structure2	"Machinegun Mk2"
FK-FF-Machinegun-Structure3	"Machinegun Mk3"
FK-HOT-BombThermite	"Thermite Bomb Mk1"
FK-HOT-BombThermite2	"Thermite Bomb Mk2"
FK-HOT-BombThermite3	"Thermite Bomb Mk3"
FK-HOT-Flamethrower	"Flamethrower Mk1"
FK-HOT-Flamethrower2	"Flamethrower Mk2"
FK-HOT-Flamethrower3	"Flamethrower Mk3"
FK-HOT-HowitzerIncendiary	"Incendiary Howitzer Mk1"
FK-HOT-HowitzerIncendiary2	"Incendiary Howitzer Mk2"
FK-HOT-HowitzerIncendiary3	"Incendiary Howitzer Mk3"
FK-HOT-Laser	"Laser Mk1"
FK-HOT-Laser2	"Laser Mk2"
FK-HOT-AAStormbringer	"Stormbringer AA Mk1"
FK-HOT-AAStormbringer2	"Stormbringer AA Mk2"
FK-MIS-AAAvengerSAM	"Avenger SAM Mk1"
FK-MIS-AAAvengerSAM2	"Avenger SAM Mk2"
FK-MIS-Lancer-Cyborg	"Lancer Mk1"
FK-MIS-Lancer-Cyborg2	"Lancer Mk2"
FK-MIS-Lancer-VTOL	"Lancer Mk1"
FK-MIS-Lancer-VTOL2	"Lancer Mk2"
FK-MIS-ScourgeMissile	"Scourge Missile Mk1"
FK-MIS-ScourgeMissile2	"Scourge Missile Mk2"
FK-SF-AACyclone	"Cyclone AA Mk1"
FK-SF-AACyclone2	"Cyclone AA Mk2"
FK-SF-AACyclone3	"Cyclone AA Mk3"
FK-SF-BombHeavy	"Heavy Bomb Mk1"
FK-SF-BombHeavy2	"Heavy Bomb Mk2"
FK-SF-BombHeavy3	"Heavy Bomb Mk3"
FK-SF-Cannon-Cyborg	"Cannon Mk1"
FK-SF-Cannon-Cyborg2	"Cannon Mk2"
FK-SF-Cannon-Cyborg3	"Cannon Mk3"
FK-SF-Cannon-Structure	"Cannon Mk1"
FK-SF-Cannon-Structure2	"Cannon Mk2"
FK-SF-Cannon-Structure3	"Cannon Mk3"
FK-SF-Railgun	"Railgun Mk1"
FK-SF-Railgun2	"Railgun Mk2"
FK-SPL-BombCluster	"Cluster Bomb Mk1"
FK-SPL-BombCluster2	"Cluster Bomb Mk2"
FK-SPL-BombCluster3	"Cluster Bomb Mk3"
FK-SPL-GrenadeLauncher-Cyborg	"Grenade Launcher Mk1"
FK-SPL-GrenadeLauncher-Cyborg2	"Grenade Launcher Mk2"
FK-SPL-GrenadeLauncher-Cyborg3	"Grenade Launcher Mk3"
FK-SPL-GrenadeLauncher-TankStructure	"Grenade Launcher Mk1"
FK-SPL-GrenadeLauncher-TankStructure2	"Grenade Launcher Mk2"
FK-SPL-GrenadeLauncher-TankStructure3	"Grenade Launcher Mk3"

// research.txt
R-W-FF-Autocannon	"Autocannon"
R-W-FF-Machinegun	"Machinegun"
R-W-FF-AAHurricane	"Hurricane AA"
R-W-SF-Cannon	"Cannon"
R-W-SF-BombHeavy	"Heavy Bomb"
R-W-SF-Railgun	"Railgun"
R-W-SF-AACyclone	"Cyclone AA"
R-W-MIS-ScourgeMissile	"Scourge Missile"
R-W-MIS-Lancer	"Lancer"
R-W-MIS-AAAvengerSAM	"Avenger SAM"
R-W-ART-Howitzer	"Howitzer"
R-W-ART-RocketBattery	"Rocket Battery"
R-W-HOT-HowitzerIncendiary	"Incendiary Howitzer"
R-W-HOT-Flamethrower	"Flamethrower"
R-W-HOT-BombThermite	"Thermite Bomb"
R-W-HOT-Laser	"Laser"
R-W-HOT-AAStormbringer	"Stormbringer AA"
R-W-SPL-GrenadeLauncher	"Grenade Launcher"
R-W-SPL-BombCluster	"Cluster Bomb"
R-WU-Machinegun-DMG1	"Machinegun Damage Mk1"
R-WU-Machinegun-DMG2	"Machinegun Damage Mk2"
R-WU-Machinegun-DMG3	"Machinegun Damage Mk3"
R-WU-Machinegun-DMG4	"Machinegun Damage Mk4"
R-WU-Machinegun-DMG5	"Machinegun Damage Mk5"
R-WU-Machinegun-ROF1	"Machinegun Rate of Fire Mk1"
R-WU-Machinegun-ROF2	"Machinegun Rate of Fire Mk2"
R-WU-Machinegun-ROF3	"Machinegun Rate of Fire Mk3"
R-WU-Machinegun-ROF4	"Machinegun Rate of Fire Mk4"
R-WU-Machinegun-ROF5	"Machinegun Rate of Fire Mk5"
R-WU-Machinegun-ROF6	"Machinegun Rate of Fire Mk6"
R-WU-Machinegun-ROF7	"Machinegun Rate of Fire Mk7"
R-WU-Machinegun-ACC1	"Machinegun Accuracy Mk1"
R-WU-Machinegun-ACC2	"Machinegun Accuracy Mk2"
R-WU-Machinegun-ACC3	"Machinegun Accuracy Mk3"
R-WU-Machinegun-ACC4	"Machinegun Accuracy Mk4"
R-WU-Machinegun-ACC5	"Machinegun Accuracy Mk5"
R-WU-Machinegun-CybStruc-SPE1	"Cyborg Machinegun Special Mk1"
R-WU-Machinegun-CybStruc-SPE2	"Cyborg Machinegun Special Mk2"
R-WU-Machinegun-TankVTOL-SPE1	"Tank/VTOL Machinegun Special Mk1"
R-WU-Machinegun-TankVTOL-SPE2	"Tank/VTOL Machinegun Special Mk2"
R-WU-AAHurricane-DMG1	"Hurricane AA Damage Mk1"
R-WU-AAHurricane-DMG2	"Hurricane AA Damage Mk2"
R-WU-AAHurricane-DMG3	"Hurricane AA Damage Mk3"
R-WU-AAHurricane-DMG4	"Hurricane AA Damage Mk4"
R-WU-AAHurricane-DMG5	"Hurricane AA Damage Mk5"
R-WU-AAHurricane-ROF1	"Hurricane AA Rate of Fire Mk1"
R-WU-AAHurricane-ROF2	"Hurricane AA Rate of Fire Mk2"
R-WU-AAHurricane-ROF3	"Hurricane AA Rate of Fire Mk3"
R-WU-AAHurricane-ROF4	"Hurricane AA Rate of Fire Mk4"
R-WU-AAHurricane-ROF5	"Hurricane AA Rate of Fire Mk5"
R-WU-AAHurricane-ROF6	"Hurricane AA Rate of Fire Mk6"
R-WU-AAHurricane-ROF7	"Hurricane AA Rate of Fire Mk7"
R-WU-AAHurricane-ACC1	"Hurricane AA Accuracy Mk1"
R-WU-AAHurricane-ACC2	"Hurricane AA Accuracy Mk2"
R-WU-AAHurricane-ACC3	"Hurricane AA Accuracy Mk3"
R-WU-AAHurricane-ACC4	"Hurricane AA Accuracy Mk4"
R-WU-AAHurricane-ACC5	"Hurricane AA Accuracy Mk5"
R-WU-AAHurricane-SPE1	"Hurricane AA Special Mk1"
R-WU-AAHurricane-SPE2	"Hurricane AA Special Mk2"
R-WU-Cannon-ROF1	"Cannon Rate of Fire Mk1"
R-WU-Cannon-ROF2	"Cannon Rate of Fire Mk2"
R-WU-Cannon-ROF3	"Cannon Rate of Fire Mk3"
R-WU-Cannon-ROF4	"Cannon Rate of Fire Mk4"
R-WU-Cannon-ROF5	"Cannon Rate of Fire Mk5"
R-WU-Cannon-DMG1	"Cannon Damage Mk1"
R-WU-Cannon-DMG2	"Cannon Damage Mk2"
R-WU-Cannon-DMG3	"Cannon Damage Mk3"
